UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,180590311,02/28/2018,876 WASHINGTON ST SW,304,Peoplestown,V,33.73093,-84.39052,
ROBBERY-PEDESTRIAN,180590045,02/28/2018,386 MULBERRY ROW SE,312,Glenrose Heights,Z,33.66638,-84.38362,
ROBBERY-PEDESTRIAN,180591359,02/28/2018,2325 GLENWOOD AVE SE,611,East Lake,O,33.73982,-84.31085,
ROBBERY-PEDESTRIAN,180590102,02/28/2018,3342 PEACHTREE RD NE,208,North Buckhead,B,33.84646,-84.36836,
AGG ASSAULT,180591440,02/28/2018,918 DONALD LEE HOLLOWELL PKWY NW,106,Bankhead,K,33.77267,-84.41777,
AGG ASSAULT,180590798,02/28/2018,190 MARIETTA ST NW @OMNI HOTEL,507,Downtown,M,33.75757,-84.39487,
AGG ASSAULT,180590891,02/28/2018,80 JESSE HILL JR DR NE,510,Downtown,M,33.75657,-84.38034,
BURGLARY-RESIDENCE,180591372,02/28/2018,1995 RAMBLING DR SW,306,Sylvan Hills,X,33.70057,-84.40756,
BURGLARY-RESIDENCE,180591393,02/28/2018,1074 HAMPTON ST NW,501,Home Park,E,33.78411,-84.40703,
BURGLARY-RESIDENCE,180590978,02/28/2018,396 ALLENDALE DR SE,611,East Lake,O,33.74179,-84.29484,
BURGLARY-RESIDENCE,180590540,02/28/2018,1783 BEECHER ST SW,404,Westview,T,33.73378,-84.4462,
BURGLARY-NONRES,180590871,02/28/2018,1085 LINDBERGH DR NE ,212,Lindridge/Martin Manor,F,33.81842,-84.35253,
BURGLARY-RESIDENCE,180591479,02/28/2018,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315,
LARCENY-NON VEHICLE,180591697,02/28/2018,950 W PEACHTREE ST NW @PUBLIX - W PEACHTREE,503,Midtown,E,33.78014,-84.38747,
LARCENY-NON VEHICLE,180591428,02/28/2018,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,180591054,02/28/2018,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,180591322,02/28/2018,2900 PEACHTREE RD NW @PUBLIX - PEACHTREE,206,Peachtree Heights West,B,33.83399,-84.3841,
LARCENY-NON VEHICLE,180592474,02/28/2018,1001 NORTHSIDE DR,504,Home Park,E,33.7819,-84.40707,
