UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
ROBBERY,201520053,5/31/2020,1362 BOULEVARD SE,607,Benteen Park,W,33.71744,-84.36818
LARCENY,201520149,5/31/2020,2716 MLK JR DR SW,405,Harland Terrace,I,33.75395,-84.47612
LARCENY,201520174,5/31/2020,17 BAKER ST NE,509,Downtown,M,33.76215,-84.38675
BURGLARY,201520199,5/31/2020,1980 DELOWE DR SW,410,Campbellton Road,R,33.70106,-84.45698
LARCENY,201520274,5/31/2020,1754 RICHMOND CIR SE,307,Lakewood Heights,Y,33.70698,-84.3745
AGG ASSAULT,201520296,5/31/2020,991 STONEWALL DR SE,308,Leila Valley,Z,33.68995,-84.3568
LARCENY,201520306,5/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.85387,-84.36702
BURGLARY,201520422,5/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409
AGG ASSAULT,201520430,5/31/2020,101 ANDREW YOUNG INTERNA BLVD NW @AC HOTEL,508,Downtown,M,33.76008,-84.39106
LARCENY,201520455,5/31/2020,1178 VIRGINIA AVE NE,601,Virginia Highland,F,33.78005,-84.34877
BURGLARY,201520478,5/31/2020,3535 PEACHTREE RD NE ,210,Lenox,B,33.85182,-84.3595
LARCENY,201520484,5/31/2020,2324 CASCADE RD SW,409,Adams Park,R,33.72186,-84.46462
AGG ASSAULT,201520487,5/31/2020,2228 JONESBORO RD SE,308,Norwood Manor,Z,33.69379,-84.3672
LARCENY,201520494,5/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.84872,-84.35723
LARCENY,201520558,5/31/2020,135 FAIRBURN RD SW,407,Wisteria Gardens,H,33.75344,-84.50608
AUTO THEFT,201520565,5/31/2020,17 JESSE HILL JR DR NE,510,Downtown,M,33.75487,-84.37999
BURGLARY,201520582,5/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.76178,-84.42201
AGG ASSAULT,201520591,5/31/2020,16 WILLIAM H BORDERS DR SE,604,Sweet Auburn,M,33.75395,-84.37543
LARCENY,201520607,5/31/2020,299 N HIGHLAND AVE NE,602,Inman Park,N,33.76198,-84.35846
AGG ASSAULT,201520800,5/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156
BURGLARY,201520824,5/31/2020,91 WILLOW WOOD CIR,611,East Lake,O,33.74934,-84.30392
LARCENY,201520825,5/31/2020,619 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.75412,-84.36717
LARCENY,201520838,5/31/2020,1683 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.7083,-84.38035
