UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,,
ROBBERY,201810588,6/30/2020,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212,,
AGG ASSAULT,201820049,6/30/2020,1099 NORTHSIDE DR NW,501,Home Park,E,33.78447,-84.4071,,
HOMICIDE,201820072,6/30/2020,639 PARKWAY DR NE,603,Old Fourth Ward,M,33.77203,-84.37252,,
AGG ASSAULT,201820075,6/30/2020,232 FORSYTH ST SW @GREYHOUND STATION,512,Downtown,M,33.74852,-84.39636,,
BURGLARY,201820210,6/30/2020,1435 MURRAY ST SE,305,South Atlanta,Y,33.71478,-84.38722,,
LARCENY,201820230,6/30/2020,1132 TECHWOOD DR NW @COURTYARD BY MARRIOT,501,Home Park,E,33.7855,-84.39273,,
AGG ASSAULT,201820232,6/30/2020,396  BURBANK DR NW,106,Hunter Hills,K,33.76312,-84.42943,,
ROBBERY,201820252,6/30/2020,190 ROSSER ST SW,104,Ashview Heights,T,33.74964,-84.42406,,
LARCENY,201820261,6/30/2020,1514 ROGERS AVE SW,404,Westview,T,33.73696,-84.43726,,
AUTO THEFT,201820277,6/30/2020,933 EUCLID AVE NE,602,Inman Park,N,33.75875,-84.35595,,
LARCENY,201820280,6/30/2020,276 FENNEL WAY SW,407,Wilson Mill Meadows,H,33.75498,-84.51621,,
ROBBERY,201820310,6/30/2020,1381 KIMBERLY WAY SW,412,Ashley Courts,P,33.71745,-84.52265,,
LARCENY,201820337,6/30/2020,71 HOWARD ST SE,610,Kirkwood,O,33.75044,-84.32442,,
AGG ASSAULT,201820354,6/30/2020,50 UPPER ALABAMA ST,511,Downtown,M,33.75371,-84.39027,,
LARCENY,201820389,6/30/2020,411 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.77237,-84.3738,,
LARCENY,201820392,6/30/2020,1280 CAROLINE ST NE,609,Edgewood,O,33.75957,-84.34602,,
LARCENY,201820407,6/30/2020,1664 N ROCK SPRINGS RD NE,613,Morningside/Lenox Park,F,33.80003,-84.36316,,
