UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,161822451,06/30/2016,743 HOLMES ST NW,207,Berkeley Park,D,33.79974,-84.41281,
ROBBERY-PEDESTRIAN,161822800,06/30/2016,1527 ALDER LN SW,408,Venetian Hills,S,33.714,-84.44868,
ROBBERY-COMMERCIAL,161822076,06/30/2016,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,
ROBBERY-PEDESTRIAN,161820044,06/30/2016,65 JOSEPH E LOWERY BLVD NW,102,Vine City,L,33.75634,-84.41742,
ROBBERY-PEDESTRIAN,161822989,06/30/2016,617 JOSEPH E BOONE BLVD NW,103,English Avenue,L,33.76359,-84.40763,
ROBBERY-RESIDENCE,161822356,06/30/2016,400 FAIRBURN RD SW,407,Fairburn Mays,H,33.74366,-84.50936,
AGG ASSAULT,161812423,06/30/2016,3901 CAMPBELLTON RD SW,412,Kings Forest,P,33.69231,-84.51621,
AGG ASSAULT,161822405,06/30/2016,1685 RICHMOND,307,Lakewood Heights,Y,33.70505,-84.37861,
AGG ASSAULT,161822833,06/30/2016,2079 RIDGEDALE RD NE,610,Kirkwood,O,33.75311,-84.31948,
AGG ASSAULT,161821571,06/30/2016,1029 MCDANIEL ST SW,302,Pittsburgh,V,33.72676,-84.4022,
AGG ASSAULT,161822629,06/30/2016,1298 DONNELLY AVE SW,402,West End,T,33.73469,-84.43019,
AGG ASSAULT,161823154,06/30/2016,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80077,-84.40869,
AGG ASSAULT,161822747,06/30/2016,737 PRINCE PL NW,109,Center Hill,J,33.77551,-84.46646,
BURGLARY-RESIDENCE,161812792,06/30/2016,3909 CAMPBELLTON RD SW   ,412,Kings Forest,P,33.6924,-84.51637,
BURGLARY-RESIDENCE,161820932,06/30/2016,1375 ALMONT DR SW,403,Oakland City,S,33.72617,-84.43298,
BURGLARY-RESIDENCE,161822855,06/30/2016,2855 OVERLOOK TRCE NE,210,Pine Hills,B,33.83306,-84.35805,
